g_time,message,node_time
2021-12-10 07:03:10.035870+00:00,"2021-12-10T07:03:08.171Z hopr:cover-traffic strategy tick: 1639119788170 balance:6133942472499234912 open: close: 16Uiu2HAmNsBzCKpjLBNApgNkqYuEEBtcNrkWaL41JL3Ms1WFaQkw
",2021-12-10T07:03:08.171Z
2021-12-10 07:03:21.803440+00:00,"2021-12-10T07:03:19.833Z hopr:cover-traffic strategy tick: 1639119799832 balance:6133942472499234912 open: close: 16Uiu2HAmNsBzCKpjLBNApgNkqYuEEBtcNrkWaL41JL3Ms1WFaQkw
",2021-12-10T07:03:19.833Z
2021-12-12 01:24:17.719285+00:00,"2021-12-12T01:24:17.477Z hopr:cover-traffic strategy tick: 1639272257477 balance:5833942472499235912 open: close: 16Uiu2HAmJ4CvtPaukQMqYSXtm4AMAWxtMT4FMF7K2BCBdJ6vUAMF
",2021-12-12T01:24:17.477Z
2021-12-12 01:25:13.998577+00:00,"2021-12-12T01:25:12.900Z hopr:cover-traffic strategy tick: 1639272312900 balance:5833942472499235912 open: close: 16Uiu2HAmJ4CvtPaukQMqYSXtm4AMAWxtMT4FMF7K2BCBdJ6vUAMF
",2021-12-12T01:25:12.900Z
2021-12-12 01:25:29.818385+00:00,"2021-12-12T01:25:25.663Z hopr:cover-traffic strategy tick: 1639272325663 balance:5833942472499235912 open: close: 16Uiu2HAmJ4CvtPaukQMqYSXtm4AMAWxtMT4FMF7K2BCBdJ6vUAMF
",2021-12-12T01:25:25.663Z
2021-12-12 08:43:10.337378+00:00,"2021-12-12T08:43:04.173Z hopr:cover-traffic strategy tick: 1639298584172 balance:5833942472499235912 open: close: 16Uiu2HAmJ4CvtPaukQMqYSXtm4AMAWxtMT4FMF7K2BCBdJ6vUAMF
",2021-12-12T08:43:04.173Z
2021-12-12 08:43:22.049227+00:00,"2021-12-12T08:43:16.046Z hopr:cover-traffic strategy tick: 1639298596045 balance:5833942472499235912 open: close: 16Uiu2HAmJ4CvtPaukQMqYSXtm4AMAWxtMT4FMF7K2BCBdJ6vUAMF
",2021-12-12T08:43:16.046Z
2021-12-13 21:31:59.838577+00:00,"2021-12-13T21:31:56.239Z hopr:cover-traffic strategy tick: 1639431116239 balance:5833942472499236912 open: close: 
",2021-12-13T21:31:56.239Z
2021-12-13 21:32:09.937278+00:00,"2021-12-13T21:32:07.395Z hopr:cover-traffic strategy tick: 1639431127395 balance:5833942472499236912 open: close: 
",2021-12-13T21:32:07.395Z
2021-12-13 21:32:19.633115+00:00,"2021-12-13T21:32:18.496Z hopr:cover-traffic strategy tick: 1639431138496 balance:5833942472499236912 open: close: 
",2021-12-13T21:32:18.496Z
2021-12-13 21:32:34.464053+00:00,"2021-12-13T21:32:29.734Z hopr:cover-traffic strategy tick: 1639431149734 balance:5833942472499236912 open: close: 
",2021-12-13T21:32:29.734Z
2021-12-13 21:32:44.620661+00:00,"2021-12-13T21:32:40.862Z hopr:cover-traffic strategy tick: 1639431160861 balance:5833942472499236912 open: close: 
",2021-12-13T21:32:40.862Z
2021-12-13 21:32:54.530580+00:00,"2021-12-13T21:32:51.953Z hopr:cover-traffic strategy tick: 1639431171952 balance:5833942472499236912 open: close: 
",2021-12-13T21:32:51.953Z
2021-12-13 21:33:05.725822+00:00,"2021-12-13T21:33:03.103Z hopr:cover-traffic strategy tick: 1639431183103 balance:5833942472499236912 open: close: 
",2021-12-13T21:33:03.103Z
2021-12-13 21:33:15.814750+00:00,"2021-12-13T21:33:14.171Z hopr:cover-traffic strategy tick: 1639431194171 balance:5833942472499236912 open: close: 
",2021-12-13T21:33:14.171Z
2021-12-13 21:33:25.628067+00:00,"2021-12-13T21:33:25.218Z hopr:cover-traffic strategy tick: 1639431205218 balance:5833942472499236912 open: close: 
",2021-12-13T21:33:25.218Z
2021-12-13 21:33:41.541082+00:00,"2021-12-13T21:33:36.366Z hopr:cover-traffic strategy tick: 1639431216366 balance:5833942472499236912 open: close: 
",2021-12-13T21:33:36.366Z
2021-12-13 21:33:51.422250+00:00,"2021-12-13T21:33:47.450Z hopr:cover-traffic strategy tick: 1639431227450 balance:5833942472499236912 open: close: 
",2021-12-13T21:33:47.450Z
2021-12-13 21:34:01.427259+00:00,"2021-12-13T21:33:58.528Z hopr:cover-traffic strategy tick: 1639431238528 balance:5833942472499236912 open: close: 
",2021-12-13T21:33:58.528Z
