g_time,message,node_time
2021-11-13 00:24:16.655278+00:00,"2021-11-13T00:24:12.276Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:24:12.276Z
2021-11-13 00:24:16.655278+00:00,"2021-11-13T00:24:12.490Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:24:12.490Z
2021-11-13 00:24:54.217075+00:00,"2021-11-13T00:24:50.778Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:24:50.778Z
2021-11-13 00:24:54.217075+00:00,"2021-11-13T00:24:50.982Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:24:50.982Z
2021-11-13 00:25:36.469790+00:00,"2021-11-13T00:25:31.375Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:25:31.375Z
2021-11-13 00:25:36.469790+00:00,"2021-11-13T00:25:31.580Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:25:31.580Z
2021-11-13 00:26:18.228269+00:00,"2021-11-13T00:26:12.294Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:26:12.294Z
2021-11-13 00:26:18.228269+00:00,"2021-11-13T00:26:12.491Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:26:12.491Z
2021-11-13 00:26:54.590844+00:00,"2021-11-13T00:26:51.733Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:26:51.733Z
2021-11-13 00:26:54.590844+00:00,"2021-11-13T00:26:51.921Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:26:51.921Z
2021-11-13 00:27:37.065690+00:00,"2021-11-13T00:27:31.890Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:27:31.890Z
2021-11-13 00:27:37.065690+00:00,"2021-11-13T00:27:32.096Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:27:32.096Z
2021-11-13 00:28:14.518323+00:00,"2021-11-13T00:28:11.318Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:28:11.318Z
2021-11-13 00:28:14.518323+00:00,"2021-11-13T00:28:11.531Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:28:11.531Z
2021-11-13 00:28:52.024050+00:00,"2021-11-13T00:28:51.783Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:28:51.783Z
2021-11-13 00:28:57.017499+00:00,"2021-11-13T00:28:51.985Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:28:51.985Z
2021-11-13 00:29:33.323873+00:00,"2021-11-13T00:29:30.235Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:29:30.235Z
2021-11-13 00:29:33.323873+00:00,"2021-11-13T00:29:30.432Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:29:30.432Z
2021-11-13 00:30:13.024229+00:00,"2021-11-13T00:30:09.322Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:30:09.322Z
2021-11-13 00:30:13.024229+00:00,"2021-11-13T00:30:09.532Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:30:09.532Z
2021-11-13 00:30:55.827481+00:00,"2021-11-13T00:30:50.611Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:30:50.611Z
2021-11-13 00:30:55.827481+00:00,"2021-11-13T00:30:50.813Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:30:50.813Z
2021-11-13 00:32:36.390973+00:00,"2021-11-13T00:32:31.903Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:32:31.903Z
2021-11-13 00:32:36.390973+00:00,"2021-11-13T00:32:32.113Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:32:32.113Z
2021-11-13 00:33:15.592991+00:00,"2021-11-13T00:33:10.520Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:33:10.520Z
2021-11-13 00:33:15.592991+00:00,"2021-11-13T00:33:10.741Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:33:10.741Z
2021-11-13 00:33:50.743319+00:00,"2021-11-13T00:33:50.330Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:33:50.330Z
2021-11-13 00:33:50.743319+00:00,"2021-11-13T00:33:50.542Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:33:50.542Z
2021-11-13 00:34:28.994595+00:00,"2021-11-13T00:34:27.817Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:34:27.817Z
2021-11-13 00:34:28.994595+00:00,"2021-11-13T00:34:28.009Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:34:28.009Z
2021-11-13 00:35:11.707167+00:00,"2021-11-13T00:35:06.949Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:35:06.949Z
2021-11-13 00:35:11.707167+00:00,"2021-11-13T00:35:07.158Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:35:07.158Z
2021-11-13 00:35:48.230888+00:00,"2021-11-13T00:35:45.372Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:35:45.372Z
2021-11-13 00:35:48.230888+00:00,"2021-11-13T00:35:45.581Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:35:45.581Z
2021-11-13 00:36:30.350659+00:00,"2021-11-13T00:36:26.696Z hopr-core setting channel strategy from undefined to passive
",2021-11-13T00:36:26.696Z
2021-11-13 00:36:30.350659+00:00,"2021-11-13T00:36:26.880Z hopr-core setting channel strategy from passive to covertraffic
",2021-11-13T00:36:26.880Z
