g_time,message,node_time
2021-11-13 00:24:16.655278+00:00,"2021-11-13T00:24:13.110Z hopr:cover-traffic strategy tick: 1636763053109 balance:100000000000000000000 open: close: 
",2021-11-13T00:24:13.110Z
2021-11-13 00:24:54.217075+00:00,"2021-11-13T00:24:51.542Z hopr:cover-traffic strategy tick: 1636763091541 balance:100000000000000000000 open: close: 
",2021-11-13T00:24:51.542Z
2021-11-13 00:25:36.469790+00:00,"2021-11-13T00:25:32.137Z hopr:cover-traffic strategy tick: 1636763132137 balance:100000000000000000000 open: close: 
",2021-11-13T00:25:32.137Z
2021-11-13 00:26:18.228269+00:00,"2021-11-13T00:26:13.145Z hopr:cover-traffic strategy tick: 1636763173145 balance:100000000000000000000 open: close: 
",2021-11-13T00:26:13.145Z
2021-11-13 00:26:54.590844+00:00,"2021-11-13T00:26:52.501Z hopr:cover-traffic strategy tick: 1636763212501 balance:100000000000000000000 open: close: 
",2021-11-13T00:26:52.501Z
2021-11-13 00:27:37.065690+00:00,"2021-11-13T00:27:32.657Z hopr:cover-traffic strategy tick: 1636763252656 balance:100000000000000000000 open: close: 
",2021-11-13T00:27:32.657Z
2021-11-13 00:28:14.518323+00:00,"2021-11-13T00:28:12.094Z hopr:cover-traffic strategy tick: 1636763292094 balance:100000000000000000000 open: close: 
",2021-11-13T00:28:12.094Z
2021-11-13 00:28:57.017499+00:00,"2021-11-13T00:28:52.528Z hopr:cover-traffic strategy tick: 1636763332527 balance:100000000000000000000 open: close: 
",2021-11-13T00:28:52.528Z
2021-11-13 00:29:33.323873+00:00,"2021-11-13T00:29:31.010Z hopr:cover-traffic strategy tick: 1636763371010 balance:100000000000000000000 open: close: 
",2021-11-13T00:29:31.010Z
2021-11-13 00:30:13.024229+00:00,"2021-11-13T00:30:10.100Z hopr:cover-traffic strategy tick: 1636763410100 balance:100000000000000000000 open: close: 
",2021-11-13T00:30:10.100Z
2021-11-13 00:30:55.827481+00:00,"2021-11-13T00:30:51.444Z hopr:cover-traffic strategy tick: 1636763451444 balance:100000000000000000000 open: close: 
",2021-11-13T00:30:51.444Z
2021-11-13 00:32:36.390973+00:00,"2021-11-13T00:32:32.674Z hopr:cover-traffic strategy tick: 1636763552674 balance:100000000000000000000 open: close: 
",2021-11-13T00:32:32.674Z
